GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.plugin,MessageStoreFactory,65,12,4,2,10,3,4,1,1,1
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.plugin,MessageStorePluginContext,9,18,0,0,3,7,3,2,3,2
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.plugin,AbstractPluginMessageStore,235,0,0,0,56,0,45,0,45,0
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.util,PositiveAtomicCounter,4,17,0,0,1,5,1,2,1,2
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.util,ServiceProvider,114,172,13,13,34,50,12,10,1,8
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.client.rebalance,RebalanceLockManager,485,23,40,0,93,5,24,2,4,2
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.client.rebalance,RebalanceLockManager.LockEntry,47,0,6,0,12,0,10,0,7,0
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.dledger,DLedgerRoleChangeHandler.new Runnable() {...},196,0,16,0,26,0,11,0,2,0
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.dledger,DLedgerRoleChangeHandler,48,0,0,0,14,0,5,0,5,0
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.filter,ConsumerFilterManager,54,527,20,52,14,133,20,34,1,17
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.filter,ExpressionForRetryMessageFilter,144,0,30,0,34,0,17,0,2,0
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.filter,CommitLogDispatcherCalcBitMap,48,152,4,16,5,36,4,9,0,3
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.filter,ExpressionMessageFilter,84,207,26,28,20,45,24,7,0,4
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.filter,ConsumerFilterManager.FilterDataMapByTopic,119,250,28,22,22,54,21,14,1,9
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.filter,MessageEvaluationContext,38,14,5,1,8,5,4,2,1,2
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.filter,ConsumerFilterData,1,110,1,5,0,37,1,27,0,25
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.transaction.queue,TransactionalMessageServiceImpl,447,673,54,48,87,149,50,27,6,20
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.transaction.queue,DefaultTransactionalMessageCheckListener,33,110,3,1,4,28,2,4,0,4
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.transaction.queue,GetResult,0,17,0,0,0,7,0,5,0,5
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.transaction.queue,TransactionalMessageUtil,3,10,0,0,1,4,1,4,1,4
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.transaction.queue,TransactionalMessageBridge,136,622,21,22,27,148,20,27,1,23
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.transaction,TransactionalMessageCheckService,0,66,0,2,0,18,0,6,0,5
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.transaction,TransactionRecord,17,0,0,0,7,0,5,0,5,0
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.transaction,AbstractTransactionalMessageCheckListener,24,104,1,1,6,24,3,6,2,6
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.transaction,AbstractTransactionalMessageCheckListener.new Runnable() {...},5,16,0,0,2,4,0,2,0,2
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.transaction,AbstractTransactionalMessageCheckListener.new ThreadFactory() {...},0,13,0,0,0,4,0,2,0,2
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.transaction,OperationResult,3,21,0,0,1,9,1,6,1,6
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.longpolling,PullRequest,45,0,0,0,16,0,8,0,8,0
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.longpolling,NotifyMessageArrivingListener,12,6,0,0,2,3,1,1,1,1
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.longpolling,ManyPullRequest,36,0,2,0,11,0,5,0,4,0
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.longpolling,PullRequestHoldService,265,73,29,5,63,20,20,6,4,5
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.offset,ConsumerOffsetManager,466,98,60,2,89,21,42,8,11,8
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.slave,SlaveSynchronize,215,17,22,0,72,7,17,3,6,3
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.client.net,Broker2Client,690,15,53,1,156,5,34,2,7,2
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.subscription,SubscriptionGroupManager,71,246,13,7,20,65,13,12,4,11
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.client,ConsumerGroupEvent,0,34,0,0,0,4,0,1,0,1
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.client,DefaultConsumerIdsChangeListener,26,63,9,11,5,17,9,4,0,2
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.client,ProducerManager,14,336,10,36,4,86,10,22,0,9
rocketmq-broker 4.8.0,org.apache.rocketmq.broker.client,ConsumerGroupInfo,207,227,22,12,51,59,29,10,14,8
