GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq,MessagingAccessPointImpl,42,47,0,0,8,8,8,6,8,6
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq.domain,SendResultImpl,3,12,0,0,1,5,1,2,1,2
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq.domain,BytesMessageImpl,62,45,1,1,13,15,7,8,6,8
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq.domain,ConsumeRequest,28,0,0,0,11,0,6,0,6,0
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq.utils,BeanUtils,130,271,6,20,31,53,7,14,3,5
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq.utils,OMSUtil.1.new Iterator() {...},13,0,0,0,4,0,4,0,4,0
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq.utils,OMSUtil,54,239,9,17,10,42,10,12,2,7
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq.utils,OMSUtil.new Iterator() {...},50,0,8,0,10,0,8,0,4,0
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq.config,ClientConfig,63,97,0,0,27,39,18,21,18,21
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq.promise,FutureState,2,64,1,5,0,10,1,7,0,5
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq.promise,DefaultPromise,109,233,21,21,31,71,21,19,3,16
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq.consumer,LocalMessageCache,207,156,13,5,54,37,12,12,5,10
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq.consumer,PullConsumerImpl.new PullTaskCallback() {...},79,6,6,0,17,1,4,1,1,1
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq.consumer,PushConsumerImpl,109,116,10,4,29,29,17,3,10,3
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq.consumer,PullConsumerImpl,79,129,11,7,22,33,14,8,6,7
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq.consumer,LocalMessageCache.new Runnable() {...},4,6,0,0,2,1,1,1,1,1
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq.consumer,PushConsumerImpl.MessageListenerImpl,15,79,1,1,3,16,1,2,0,2
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq.consumer,PushConsumerImpl.MessageListenerImpl.new MessageListener.Context() {...},3,23,0,0,1,5,1,2,1,2
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq.producer,AbstractOMSProducer,180,114,22,8,26,32,15,7,1,6
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq.producer,ProducerImpl.new SendCallback() {...},33,0,0,0,6,0,3,0,3,0
rocketmq-openmessaging 4.8.0,io.openmessaging.rocketmq.producer,ProducerImpl,103,78,4,2,28,14,13,4,11,3
