GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rocketmq-store 4.8.0,org.apache.rocketmq.store,TransientStorePool,111,31,7,1,22,9,8,3,4,3
rocketmq-store 4.8.0,org.apache.rocketmq.store,PutMessageSpinLock,0,25,1,1,0,7,1,3,0,3
rocketmq-store 4.8.0,org.apache.rocketmq.store,AppendMessageStatus,0,54,0,0,0,6,0,1,0,1
rocketmq-store 4.8.0,org.apache.rocketmq.store,MessageExtBrokerInner,9,24,2,2,2,8,4,5,2,5
rocketmq-store 4.8.0,org.apache.rocketmq.store,AllocateMappedFileService,260,273,26,30,46,67,23,12,0,7
rocketmq-store 4.8.0,org.apache.rocketmq.store,GetMessageStatus,0,94,0,0,0,10,0,1,0,1
rocketmq-store 4.8.0,org.apache.rocketmq.store,CommitLog.GroupCommitRequest,0,49,0,0,0,14,0,5,0,5
rocketmq-store 4.8.0,org.apache.rocketmq.store,DefaultMessageStore.CommitLogDispatcherBuildIndex,0,17,0,2,0,4,0,3,0,2
rocketmq-store 4.8.0,org.apache.rocketmq.store,CommitLog.new ThreadLocal() {...},0,17,0,0,0,2,0,2,0,2
rocketmq-store 4.8.0,org.apache.rocketmq.store,MappedFileQueue,353,928,52,114,97,214,45,75,9,28
rocketmq-store 4.8.0,org.apache.rocketmq.store,StoreCheckpoint,13,212,1,3,4,47,2,12,1,11
rocketmq-store 4.8.0,org.apache.rocketmq.store,DefaultMessageStore.CleanConsumeQueueService,17,77,2,8,4,20,3,6,1,3
rocketmq-store 4.8.0,org.apache.rocketmq.store,CommitLog,1044,1769,125,151,197,412,111,79,12,34
rocketmq-store 4.8.0,org.apache.rocketmq.store,DefaultMessageFilter,41,0,10,0,10,0,8,0,3,0
rocketmq-store 4.8.0,org.apache.rocketmq.store,DefaultMessageStore.CleanCommitLogService,95,388,16,40,18,86,17,22,3,8
rocketmq-store 4.8.0,org.apache.rocketmq.store,MappedFile,673,735,59,55,113,157,54,52,12,37
rocketmq-store 4.8.0,org.apache.rocketmq.store,PutMessageResult,22,29,2,2,3,9,4,5,2,5
rocketmq-store 4.8.0,org.apache.rocketmq.store,QueryMessageResult,72,0,2,0,20,0,10,0,9,0
rocketmq-store 4.8.0,org.apache.rocketmq.store,ConsumeQueueExt,74,524,20,44,24,120,21,29,1,17
